0.10.7	id=sdg_03_60	filters=c("ES", "T", "TOTAL", "PC")	date_filter=>2014-01-01
0.10.7	id=sdg_06_10	filters=c("ES", "T", "TOTAL", "PC")	date_filter=>2014-01-01
0.10.7	id=sdg_07_60	filters=c("ES", "T", "TOTAL", "PC")	date_filter=>2014-01-01
0.10.7	id=sdg_11_10	filters=c("ES", "T", "TOTAL", "PC")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_10a	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_20	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_20a	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_30	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_40	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_41	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_60	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_03_60	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_06_10	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_07_60	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_11_10	filters=c("T", "TOTAL", "PC")	date_filter=2019
0.10.7	id=sdg_01_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_30	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_40	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_41	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_03_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_06_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_07_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_11_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_30	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
