0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), unit = "PCH_PRE")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), unit = "PCH_PRE")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), s_adj = "SCA", unit = "I16", nace_r2 = "B")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id=LFST_R_LFU3RT	filters=list(geo = c("ES62", "ES30"), s_adj = "SCA", unit = "I16", nace_r2 = "B", lcstruct = "D11")	exact_match=TRUE	date_filter=2000:2019	label=FALSE	select_freq=A	verbose=FALSE	name=FALSE
0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), s_adj = "SCA", unit = "I16", nace_r2 = "B", lcstruct = "D11")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), s_adj = "SCA", unit = "I16", nace_r2 = "B", lcstruct = "D11")	exact_match=TRUE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), s_adj = "SCA", unit = "I16", nace_r2 = "B", lcstruct = "D11")	exact_match=TRUE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), s_adj = "SCA", unit = "I16", nace_r2 = "B", lcstruct = "D11")	exact_match=TRUE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id= LC_LCI_R2_Q	filters=list(geo = c("ES", "UK"), s_adj = "SCA", unit = "I16", nace_r2 = "B", lcstruct = "D11")	exact_match=TRUE	date_filter=2000:2019	label=FALSE	verbose=FALSE	name=FALSE
0.9.8	id=namq_10_gdp	filters=list(geo = c("ES", "UK"), s_adj = "SCA", na_item = "B1GQ", unit = "CLV_PCH_PRE")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	select_freq=Q	verbose=FALSE	name=FALSE
0.9.8	id=namq_10_gdp	filters=list(geo = c("ES", "UK"), s_adj = "SCA", na_item = "B1GQ", unit = "CLV_I10")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	select_freq=Q	verbose=FALSE	name=FALSE
0.9.8	id=namq_10_gdp	filters=list(geo = c("ES", "UK"), s_adj = "SCA", na_item = "B1GQ", unit = "CLV_I10")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	select_freq=Q	verbose=FALSE	name=FALSE
0.9.8	id=namq_10_gdp	filters=list(geo = c("ES", "UK"), s_adj = "SCA", na_item = "B1GQ", unit = "CLV_I10")	exact_match=FALSE	date_filter=2000:2019	label=FALSE	select_freq=Q	verbose=FALSE	name=FALSE
